,gateway_name,symbol,exchange,datetime,interval,volume,turnover,open_interest,open_price,high_price,low_price,close_price,vt_symbol
367,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:25:00+08:00,Interval.MINUTE,2.05786,0,0,109287.43,109287.43,109269.32,109276.59,BTCUSDT.BINANCE
368,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:26:00+08:00,Interval.MINUTE,2.02932,0,0,109276.01,109276.01,109243.16,109243.17,BTCUSDT.BINANCE
369,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:27:00+08:00,Interval.MINUTE,2.25909,0,0,109243.18,109243.18,109209.8,109209.81,BTCUSDT.BINANCE
370,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:28:00+08:00,Interval.MINUTE,12.79624,0,0,109209.81,109315.25,109209.8,109315.22,BTCUSDT.BINANCE
371,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:29:00+08:00,Interval.MINUTE,6.03748,0,0,109315.21,109348.61,109315.21,109334.01,BTCUSDT.BINANCE
372,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:30:00+08:00,Interval.MINUTE,3.91501,0,0,109334.0,109347.84,109309.05,109347.83,BTCUSDT.BINANCE
373,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:31:00+08:00,Interval.MINUTE,3.74255,0,0,109347.84,109391.32,109347.83,109385.64,BTCUSDT.BINANCE
374,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:32:00+08:00,Interval.MINUTE,7.44922,0,0,109385.64,109425.0,109385.64,109423.99,BTCUSDT.BINANCE
375,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:33:00+08:00,Interval.MINUTE,43.66284,0,0,109424.0,109461.42,109392.67,109401.82,BTCUSDT.BINANCE
376,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:34:00+08:00,Interval.MINUTE,8.43728,0,0,109401.83,109401.83,109356.0,109398.0,BTCUSDT.BINANCE
377,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:35:00+08:00,Interval.MINUTE,2.56117,0,0,109398.0,109412.99,109390.0,109412.98,BTCUSDT.BINANCE
378,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:36:00+08:00,Interval.MINUTE,4.99038,0,0,109412.99,109429.4,109412.98,109416.0,BTCUSDT.BINANCE
379,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:37:00+08:00,Interval.MINUTE,36.85178,0,0,109416.01,109416.01,109351.51,109351.51,BTCUSDT.BINANCE
380,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:38:00+08:00,Interval.MINUTE,5.72128,0,0,109351.51,109351.51,109313.31,109327.75,BTCUSDT.BINANCE
381,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:39:00+08:00,Interval.MINUTE,2.91622,0,0,109327.76,109329.05,109300.88,109329.05,BTCUSDT.BINANCE
382,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:40:00+08:00,Interval.MINUTE,6.94829,0,0,109329.04,109362.03,109315.85,109315.86,BTCUSDT.BINANCE
383,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:41:00+08:00,Interval.MINUTE,3.23222,0,0,109315.86,109315.86,109296.7,109296.71,BTCUSDT.BINANCE
384,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:42:00+08:00,Interval.MINUTE,2.37495,0,0,109296.71,109321.11,109296.7,109299.39,BTCUSDT.BINANCE
385,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:43:00+08:00,Interval.MINUTE,2.54057,0,0,109299.38,109299.39,109289.82,109289.83,BTCUSDT.BINANCE
386,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:44:00+08:00,Interval.MINUTE,2.43036,0,0,109289.83,109334.92,109289.82,109334.92,BTCUSDT.BINANCE
387,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:45:00+08:00,Interval.MINUTE,2.00529,0,0,109334.92,109350.99,109334.91,109335.38,BTCUSDT.BINANCE
388,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:46:00+08:00,Interval.MINUTE,2.14363,0,0,109335.37,109335.37,109301.62,109301.63,BTCUSDT.BINANCE
389,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:47:00+08:00,Interval.MINUTE,3.05631,0,0,109301.63,109383.37,109301.62,109383.36,BTCUSDT.BINANCE
390,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:48:00+08:00,Interval.MINUTE,2.99497,0,0,109383.37,109383.37,109352.61,109352.62,BTCUSDT.BINANCE
391,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:49:00+08:00,Interval.MINUTE,4.07168,0,0,109352.62,109375.5,109326.2,109375.5,BTCUSDT.BINANCE
392,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:50:00+08:00,Interval.MINUTE,1.79744,0,0,109375.5,109388.1,109375.49,109388.1,BTCUSDT.BINANCE
393,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:51:00+08:00,Interval.MINUTE,13.08039,0,0,109388.1,109415.64,109380.25,109415.64,BTCUSDT.BINANCE
394,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:52:00+08:00,Interval.MINUTE,11.59086,0,0,109415.64,109460.53,109415.64,109450.01,BTCUSDT.BINANCE
395,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:53:00+08:00,Interval.MINUTE,3.25773,0,0,109450.0,109460.54,109423.29,109460.54,BTCUSDT.BINANCE
396,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:54:00+08:00,Interval.MINUTE,3.33321,0,0,109460.54,109460.54,109432.3,109443.54,BTCUSDT.BINANCE
397,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:55:00+08:00,Interval.MINUTE,6.41687,0,0,109443.55,109475.88,109443.54,109475.87,BTCUSDT.BINANCE
398,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:56:00+08:00,Interval.MINUTE,2.33364,0,0,109475.87,109480.02,109475.87,109480.02,BTCUSDT.BINANCE
399,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:57:00+08:00,Interval.MINUTE,6.30644,0,0,109480.02,109480.02,109450.36,109450.36,BTCUSDT.BINANCE
400,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:58:00+08:00,Interval.MINUTE,5.09027,0,0,109450.37,109453.94,109444.79,109444.79,BTCUSDT.BINANCE
401,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:59:00+08:00,Interval.MINUTE,13.09211,0,0,109444.8,109444.8,109429.01,109429.01,BTCUSDT.BINANCE
402,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:00:00+08:00,Interval.MINUTE,6.46395,0,0,109429.02,109439.54,109421.65,109431.24,BTCUSDT.BINANCE
403,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:01:00+08:00,Interval.MINUTE,6.34876,0,0,109431.24,109439.43,109423.42,109423.43,BTCUSDT.BINANCE
404,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:02:00+08:00,Interval.MINUTE,9.18669,0,0,109423.43,109423.43,109366.22,109366.22,BTCUSDT.BINANCE
405,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:03:00+08:00,Interval.MINUTE,1.51433,0,0,109366.23,109397.19,109366.23,109397.19,BTCUSDT.BINANCE
406,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:04:00+08:00,Interval.MINUTE,1.84425,0,0,109397.19,109404.98,109393.37,109393.38,BTCUSDT.BINANCE
407,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:05:00+08:00,Interval.MINUTE,7.70833,0,0,109393.38,109403.88,109345.13,109348.28,BTCUSDT.BINANCE
408,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:06:00+08:00,Interval.MINUTE,3.75024,0,0,109348.27,109348.28,109332.96,109332.96,BTCUSDT.BINANCE
409,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:07:00+08:00,Interval.MINUTE,6.29631,0,0,109332.97,109332.97,109303.0,109303.01,BTCUSDT.BINANCE
410,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:08:00+08:00,Interval.MINUTE,9.73113,0,0,109303.01,109363.02,109303.0,109363.02,BTCUSDT.BINANCE
411,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:09:00+08:00,Interval.MINUTE,4.25446,0,0,109363.01,109363.02,109334.61,109361.18,BTCUSDT.BINANCE
412,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:10:00+08:00,Interval.MINUTE,3.65392,0,0,109361.18,109361.18,109325.95,109326.83,BTCUSDT.BINANCE
413,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:11:00+08:00,Interval.MINUTE,2.41136,0,0,109326.83,109326.84,109306.98,109306.99,BTCUSDT.BINANCE
414,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:12:00+08:00,Interval.MINUTE,2.00332,0,0,109306.99,109324.87,109306.98,109324.87,BTCUSDT.BINANCE
415,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:13:00+08:00,Interval.MINUTE,2.21182,0,0,109324.86,109360.0,109324.86,109360.0,BTCUSDT.BINANCE
416,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:14:00+08:00,Interval.MINUTE,9.01888,0,0,109360.0,109376.33,109359.99,109376.33,BTCUSDT.BINANCE
417,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:15:00+08:00,Interval.MINUTE,24.88104,0,0,109376.32,109412.15,109333.39,109339.44,BTCUSDT.BINANCE
418,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:16:00+08:00,Interval.MINUTE,1.96757,0,0,109339.44,109396.03,109339.43,109396.03,BTCUSDT.BINANCE
419,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:17:00+08:00,Interval.MINUTE,0.99146,0,0,109396.03,109406.12,109396.02,109398.01,BTCUSDT.BINANCE
420,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:18:00+08:00,Interval.MINUTE,1.4292,0,0,109398.01,109410.42,109387.06,109387.07,BTCUSDT.BINANCE
421,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:19:00+08:00,Interval.MINUTE,11.32951,0,0,109387.06,109387.07,109365.89,109365.89,BTCUSDT.BINANCE
422,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:20:00+08:00,Interval.MINUTE,3.71936,0,0,109365.9,109365.9,109352.46,109363.45,BTCUSDT.BINANCE
423,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:21:00+08:00,Interval.MINUTE,1.57825,0,0,109363.45,109363.45,109335.82,109335.82,BTCUSDT.BINANCE
424,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:22:00+08:00,Interval.MINUTE,2.22431,0,0,109335.83,109335.83,109335.28,109335.81,BTCUSDT.BINANCE
425,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:23:00+08:00,Interval.MINUTE,1.90276,0,0,109335.81,109335.81,109317.9,109317.91,BTCUSDT.BINANCE
426,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:24:00+08:00,Interval.MINUTE,25.50167,0,0,109317.9,109317.9,109289.25,109299.99,BTCUSDT.BINANCE
427,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:25:00+08:00,Interval.MINUTE,4.14612,0,0,109300.0,109307.01,109294.99,109295.0,BTCUSDT.BINANCE
428,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:26:00+08:00,Interval.MINUTE,0.61899,0,0,109295.0,109295.0,109289.79,109289.79,BTCUSDT.BINANCE
